,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
27,Vision of Division,First Impressions Of Earth,The Strokes,2006-01-03,259026,47,0.428,2.33e-05,0.428,0.811,0.434,0.359,-3.681,0.0382,141.95,4
28,Ask Me Anything,First Impressions Of Earth,The Strokes,2006-01-03,189973,46,0.376,0.55,0.376,0.31,0.841,0.147,-9.79,0.0332,131.566,4
29,Electricityscape,First Impressions Of Earth,The Strokes,2006-01-03,213200,46,0.382,0.0022,0.382,0.882,0.144,0.0776,-4.166,0.0429,140.034,4
30,Killing Lies,First Impressions Of Earth,The Strokes,2006-01-03,228733,48,0.504,0.00155,0.504,0.806,0.799,0.158,-4.955,0.0388,120.205,4
31,Fear of Sleep,First Impressions Of Earth,The Strokes,2006-01-03,240466,43,0.436,0.000282,0.436,0.923,0.823,0.356,-4.444,0.0591,127.731,4
32,15 Minutes,First Impressions Of Earth,The Strokes,2006-01-03,273133,42,0.341,0.00385,0.341,0.881,0.0383,0.141,-3.558,0.0411,82.957,3
33,Ize of the World,First Impressions Of Earth,The Strokes,2006-01-03,265773,49,0.397,9.07e-06,0.397,0.894,0.642,0.0847,-3.099,0.0464,134.993,4
34,Evening Sun,First Impressions Of Earth,The Strokes,2006-01-03,186000,44,0.631,0.32,0.631,0.755,0.00481,0.296,-4.534,0.0311,124.958,4
35,Red Light,First Impressions Of Earth,The Strokes,2006-01-03,191693,47,0.534,0.000167,0.534,0.837,0.649,0.189,-3.938,0.0407,103.533,3
36,Machu Picchu,Angles,The Strokes,2011-03-21,209626,62,0.695,0.0133,0.695,0.814,0.0984,0.0601,-5.294,0.066,105.011,4
37,Under Cover of Darkness,Angles,The Strokes,2011-03-21,235546,67,0.357,0.00419,0.357,0.775,0.285,0.0676,-3.364,0.054,199.853,4
38,Two Kinds of Happiness,Angles,The Strokes,2011-03-21,222080,47,0.534,0.00153,0.534,0.778,0.025,0.176,-5.252,0.0453,137.68,4
39,You're So Right,Angles,The Strokes,2011-03-21,153760,45,0.441,0.000141,0.441,0.863,0.719,0.0775,-6.787,0.0363,168.087,4
40,Taken for a Fool,Angles,The Strokes,2011-03-21,203240,57,0.57,0.00595,0.57,0.89,0.0112,0.226,-4.447,0.0559,137.04,4
41,Games,Angles,The Strokes,2011-03-21,231533,46,0.643,0.00327,0.643,0.708,0.182,0.19,-6.742,0.0291,127.034,4
42,Call Me Back,Angles,The Strokes,2011-03-21,182026,53,0.736,0.864,0.736,0.297,1.49e-05,0.0609,-9.648,0.0349,125.851,4
43,Gratisfaction,Angles,The Strokes,2011-03-21,179200,52,0.644,0.0456,0.644,0.788,0.34,0.231,-5.039,0.0556,135.437,4
44,Metabolism,Angles,The Strokes,2011-03-21,180680,44,0.422,4.16e-05,0.422,0.85,0.00363,0.164,-5.133,0.0394,162.003,3
45,Life Is Simple in the Moonlight,Angles,The Strokes,2011-03-21,255240,54,0.515,0.0126,0.515,0.697,0.000343,0.0912,-5.85,0.0313,134.893,4
46,Tap Out,Comedown Machine,The Strokes,2013-03-25,222360,54,0.737,0.0176,0.737,0.745,0.381,0.306,-5.944,0.0351,115.989,4
47,All The Time,Comedown Machine,The Strokes,2013-03-25,181373,47,0.403,8.44e-05,0.403,0.883,0.65,0.126,-6.054,0.0745,141.945,4
48,One Way Trigger,Comedown Machine,The Strokes,2013-03-25,242293,57,0.516,0.000182,0.516,0.942,0.464,0.116,-4.113,0.036,95.996,4
49,Welcome To Japan,Comedown Machine,The Strokes,2013-03-25,230826,57,0.705,0.00233,0.705,0.666,0.0149,0.174,-7.23,0.0303,124.032,4
50,80's Comedown Machine,Comedown Machine,The Strokes,2013-03-25,298613,52,0.488,0.00583,0.488,0.503,0.809,0.101,-8.89,0.0326,144.035,4
51,50/50,Comedown Machine,The Strokes,2013-03-25,163226,47,0.491,4.23e-05,0.491,0.93,0.612,0.219,-6.412,0.0347,99.924,4
52,Slow Animals,Comedown Machine,The Strokes,2013-03-25,260693,47,0.664,0.0658,0.664,0.646,0.28,0.0954,-7.934,0.0284,131.993,4
53,Partners In Crime,Comedown Machine,The Strokes,2013-03-25,201893,46,0.538,0.000934,0.538,0.951,0.0545,0.239,-4.741,0.0606,106.033,4
54,Chances,Comedown Machine,The Strokes,2013-03-25,216786,54,0.561,0.365,0.561,0.569,0.611,0.109,-9.682,0.0289,103.705,4
55,Happy Ending,Comedown Machine,The Strokes,2013-03-25,172160,47,0.626,0.00571,0.626,0.831,0.0188,0.355,-7.743,0.0369,113.999,4
56,"Call It Fate, Call It Karma",Comedown Machine,The Strokes,2013-03-25,204773,64,0.544,0.983,0.544,0.241,0.774,0.101,-14.779,0.03,109.437,4
57,The Adults Are Talking,The New Abnormal,The Strokes,2020-04-10,309053,71,0.593,0.0116,0.593,0.749,0.108,0.314,-5.671,0.0475,164.961,4
58,Selfless,The New Abnormal,The Strokes,2020-04-10,222093,68,0.537,0.191,0.537,0.68,0.00175,0.0889,-4.297,0.0333,121.989,4
59,Brooklyn Bridge To Chorus,The New Abnormal,The Strokes,2020-04-10,235946,66,0.628,0.00602,0.628,0.571,8.89e-05,0.0833,-3.897,0.0631,119.894,4
60,Bad Decisions,The New Abnormal,The Strokes,2020-04-10,293360,66,0.377,0.0136,0.377,0.922,0.204,0.28,-3.4,0.056,153.404,4
61,Eternal Summer,The New Abnormal,The Strokes,2020-04-10,375320,65,0.62,0.0142,0.62,0.78,0.011,0.0833,-4.466,0.0364,93.954,4
62,At The Door,The New Abnormal,The Strokes,2020-04-10,310373,63,0.439,0.858,0.439,0.323,0.00921,0.146,-6.764,0.0323,116.743,4
63,Why Are Sundays So Depressing,The New Abnormal,The Strokes,2020-04-10,275666,64,0.579,0.00258,0.579,0.714,0.0269,0.111,-4.455,0.0347,109.974,4
64,Not The Same Anymore,The New Abnormal,The Strokes,2020-04-10,337333,62,0.349,0.39,0.349,0.613,0.0128,0.103,-5.9,0.0309,177.333,4
65,Ode To The Mets,The New Abnormal,The Strokes,2020-04-10,351786,65,0.428,0.346,0.428,0.617,0.179,0.101,-5.424,0.0283,92.003,4
